pmax_AM,pmax_LM,sum_negll
0.02,0.48,228.707
0.02,0.49,230.103
0.02,0.5,228.683
0.02,0.51,228.316
0.02,0.52,229.12
0.02,0.53,228.388
0.02,0.54,228.388
0.02,0.55,228.255
0.02,0.56,228.975
0.02,0.57,229.147
0.02,0.58,228.522
0.02,0.59,228.571
0.02,0.6,227.956
0.02,0.61,227.956
0.02,0.62,228.683
0.02,0.63,229.137
0.02,0.64,229.562
0.02,0.65,229.12
0.02,0.66,228.683
0.02,0.67,228.272
0.02,0.68,228.404
0.02,0.69,228.683
0.02,0.7,228.985
0.02,0.71,228.098
0.02,0.72,228.985
0.02,0.73,230.036
0.02,0.74,229.646
0.02,0.75,227.966
0.02,0.76,230.106
0.02,0.77,228.255
0.02,0.78,229.579
0.02,0.79,229.596
0.02,0.8,228.398
0.02,0.81,228.65
0.02,0.82,229.273
0.02,0.83,228.388
0.02,0.84,229.42
0.02,0.85,229.862
0.02,0.86,228.388
0.02,0.87,227.956
0.02,0.88,228.459
0.02,0.89,229.103
0.02,0.9,228.858
0.02,0.91,228.026
0.02,0.92,228.975
0.02,0.93,229.42
0.02,0.94,227.966
0.02,0.95,227.956
0.02,0.96,229.815
0.02,0.97,229.137
0.02,0.98,229.171
0.02,0.99,228.899
0.03,0,251.538
0.03,0.01,253.371
0.03,0.02,255.891
0.03,0.03,262.465
0.03,0.04,267.687
0.03,0.05,283.236
0.03,0.06,288.119
0.03,0.07,266.591
0.03,0.08,263.577
0.03,0.09,243.445
0.03,0.1,216.691
0.03,0.11,205.502
0.03,0.12,212.888
0.03,0.13,215.994
0.03,0.14,229.554
0.03,0.15,230.763
0.03,0.16,228.707
0.03,0.17,231.423
0.03,0.18,229.414
0.03,0.19,228.985
0.03,0.2,229.554
0.03,0.21,229.209
0.03,0.22,228.683
0.03,0.23,228.026
0.03,0.24,229.579
0.03,0.25,228.574
0.03,0.26,228.69
0.03,0.27,228.683
0.03,0.28,228.23
0.03,0.29,228.683
0.03,0.3,228.683
0.03,0.31,228.404
0.03,0.32,229.589
0.03,0.33,227.956
0.03,0.34,228.985
0.03,0.35,229.431
0.03,0.36,229.2
0.03,0.37,229.415
0.03,0.38,227.956
0.03,0.39,228.388
0.03,0.4,228.744
0.03,0.41,228.404
0.03,0.42,228.826
0.03,0.43,229.13
0.03,0.44,228.754
0.03,0.45,229.901
0.03,0.46,229.492
0.03,0.47,229.42
0.03,0.48,229.579
0.03,0.49,228.683
0.03,0.5,229.474
0.03,0.51,228.245
0.03,0.52,228.996
0.03,0.53,229.946
0.03,0.54,229.12
0.03,0.55,228.683
0.03,0.56,228.824
0.03,0.57,228.531
0.03,0.58,230.079
0.03,0.59,228.108
0.03,0.6,228.026
0.03,0.61,228.388
0.03,0.62,229.443
0.03,0.63,230.293
0.03,0.64,228.967
0.03,0.65,229.12
0.03,0.66,228.388
0.03,0.67,227.956
0.03,0.68,228.985
0.03,0.69,228.975
0.03,0.7,228.707
0.03,0.71,229.42
0.03,0.72,229.498
0.03,0.73,229.192
0.03,0.74,230.135
0.03,0.75,230.568
0.03,0.76,229.862
0.03,0.77,228.841
0.03,0.78,229.054
0.03,0.79,228.858
0.03,0.8,227.956
0.03,0.81,230.863
0.03,0.82,227.956
0.03,0.83,229.726
0.03,0.84,229.137
0.03,0.85,227.966
0.03,0.86,229.263
0.03,0.87,229.42
0.03,0.88,229.596
0.03,0.89,228.824
0.03,0.9,228.255
0.03,0.91,230.401
0.03,0.92,228.683
0.03,0.93,228.724
0.03,0.94,229.12
0.03,0.95,229.662
0.03,0.96,230.103
0.03,0.97,227.966
0.03,0.98,229.88
0.03,0.99,227.956
0.04,0,251.662
0.04,0.01,251.992
0.04,0.02,254.284
0.04,0.03,265.587
0.04,0.04,271.705
0.04,0.05,276.104
0.04,0.06,286.234
0.04,0.07,296.733
0.04,0.08,267.231
0.04,0.09,235.515
0.04,0.1,219.534
0.04,0.11,211.972
0.04,0.12,212.502
0.04,0.13,206.059
0.04,0.14,218.211
0.04,0.15,215.412
0.04,0.16,202.327
0.04,0.17,215.223
0.04,0.18,229.838
0.04,0.19,230.334
0.04,0.2,229.209
0.04,0.21,228.404
0.04,0.22,227.956
0.04,0.23,228.991
0.04,0.24,229.328
0.04,0.25,230.172
0.04,0.26,229.283
0.04,0.27,229.579
0.04,0.28,228.547
0.04,0.29,229.266
0.04,0.3,230.2
0.04,0.31,228.683
0.04,0.32,229.679
0.04,0.33,229.403
0.04,0.34,228.693
0.04,0.35,228.388
0.04,0.36,228.476
0.04,0.37,228.109
0.04,0.38,228.026
0.04,0.39,228.707
0.04,0.4,228.7
0.04,0.41,228.398
0.04,0.42,229.164
0.04,0.43,229.261
0.04,0.44,228.459
0.04,0.45,229.492
0.04,0.46,228.388
0.04,0.47,228.683
0.04,0.48,229.12
0.04,0.49,229.185
0.04,0.5,229.137
0.04,0.51,227.956
0.04,0.52,229.589
0.04,0.53,228.844
0.04,0.54,228.026
0.04,0.55,228.613
0.04,0.56,228.693
0.04,0.57,228.404
0.04,0.58,229.596
0.04,0.59,227.956
0.04,0.6,229.181
0.04,0.61,228.693
0.04,0.62,229.431
0.04,0.63,229.425
0.04,0.64,228.591
0.04,0.65,228.683
0.04,0.66,228.93
0.04,0.67,228.398
0.04,0.68,229.013
0.04,0.69,229.651
0.04,0.7,228.693
0.04,0.71,229.147
0.04,0.72,228.337
0.04,0.73,228.404
0.04,0.74,228.683
0.04,0.75,228.459
0.04,0.76,229.492
0.04,0.77,228.398
0.04,0.78,227.966
0.04,0.79,229.562
0.04,0.8,229.137
0.04,0.81,229.907
0.04,0.82,228.754
0.04,0.83,228.852
0.04,0.84,229.579
0.04,0.85,229.283
0.04,0.86,228.899
0.04,0.87,229.515
0.04,0.88,228.704
0.04,0.89,227.956
0.04,0.9,227.956
0.04,0.91,230.442
0.04,0.92,228.539
0.04,0.93,228.388
0.04,0.94,228.683
0.04,0.95,229.291
0.04,0.96,228.415
0.04,0.97,227.966
0.04,0.98,229.596
0.04,0.99,228.841
0.05,0,250.938
0.05,0.01,251.253
0.05,0.02,258.852
0.05,0.03,266.771
0.05,0.04,265.244
0.05,0.05,278.021
0.05,0.06,289.519
0.05,0.07,268.347
0.05,0.08,239.063
0.05,0.09,225.653
0.05,0.1,221.827
0.05,0.11,209.85
0.05,0.12,208.614
0.05,0.13,205.048
0.05,0.14,203.131
0.05,0.15,215.885
0.05,0.16,214.714
0.05,0.17,229.405
0.05,0.18,230.63
0.05,0.19,229.156
0.05,0.2,229.226
0.05,0.21,230.103
0.05,0.22,230.017
0.05,0.23,228.873
0.05,0.24,228.863
0.05,0.25,228.404
0.05,0.26,229.158
0.05,0.27,228.436
0.05,0.28,227.956
0.05,0.29,228.541
0.05,0.3,228.683
0.05,0.31,229.12
0.05,0.32,228.306
0.05,0.33,229.164
0.05,0.34,229.209
